CUBE_ID,TABLE_ID
FINREP_REF_F_44.04_REF_FINREP 2.9,FINREP_REF_F_44.04_REF_FINREP 2.9
FINREP_REF_F_08.02_REF_FINREP 2.8,FINREP_REF_F_08.02_REF_FINREP 2.8
FINREP_REF_F_04.10_REF_FINREP 2.9,FINREP_REF_F_04.10_REF_FINREP 2.9
FINREP_REF_F_20.01_REF_FINREP 2.8,FINREP_REF_F_20.01_REF_FINREP 2.8
FINREP_REF_F_03.00_REF_FINREP 2.8,FINREP_REF_F_03.00_REF_FINREP 2.8
FINREP_REF_F_23.06_REF_FINREP 2.9,FINREP_REF_F_23.06_REF_FINREP 2.9
FINREP_REF_F_23.02_REF_FINREP 2.9,FINREP_REF_F_23.02_REF_FINREP 2.9
FINREP_REF_F_24.03_REF_FINREP 2.9,FINREP_REF_F_24.03_REF_FINREP 2.9
FINREP_REF_F_42.00_REF_FINREP 2.9,FINREP_REF_F_42.00_REF_FINREP 2.9
FINREP_REF_F_07.01_REF_FINREP 2.8,FINREP_REF_F_07.01_REF_FINREP 2.8
FINREP_REF_F_45.02_REF_FINREP 2.9,FINREP_REF_F_45.02_REF_FINREP 2.9
FINREP_REF_F_23.01_REF_FINREP 2.9,FINREP_REF_F_23.01_REF_FINREP 2.9
FINREP_REF_F_23.05_REF_FINREP 2.9,FINREP_REF_F_23.05_REF_FINREP 2.9
FINREP_REF_F_07.02_REF_FINREP 2.8,FINREP_REF_F_07.02_REF_FINREP 2.8
FINREP_REF_F_20.02_REF_FINREP 2.8,FINREP_REF_F_20.02_REF_FINREP 2.8
FINREP_REF_F_20.03_REF_FINREP 2.8,FINREP_REF_F_20.03_REF_FINREP 2.8
FINREP_REF_F_23.04_REF_FINREP 2.9,FINREP_REF_F_23.04_REF_FINREP 2.9
FINREP_REF_F_24.01_REF_FINREP 2.9,FINREP_REF_F_24.01_REF_FINREP 2.9
FINREP_REF_F_02.00_REF_FINREP 2.9,FINREP_REF_F_02.00_REF_FINREP 2.9
FINREP_REF_F_06.01_REF_FINREP 2.9,FINREP_REF_F_06.01_REF_FINREP 2.9
FINREP_REF_F_30.02_REF_FINREP 2.8,FINREP_REF_F_30.02_REF_FINREP 2.8
FINREP_REF_F_22.01_REF_FINREP 2.9,FINREP_REF_F_22.01_REF_FINREP 2.9
FINREP_REF_F_47.00_REF_FINREP 2.9,FINREP_REF_F_47.00_REF_FINREP 2.9
FINREP_REF_F_04.09_REF_FINREP 2.9,FINREP_REF_F_04.09_REF_FINREP 2.9
FINREP_REF_F_16.01_REF_FINREP 2.9,FINREP_REF_F_16.01_REF_FINREP 2.9
FINREP_REF_F_44.03_REF_FINREP 2.9,FINREP_REF_F_44.03_REF_FINREP 2.9
FINREP_REF_F_13.01_REF_FINREP 2.9,FINREP_REF_F_13.01_REF_FINREP 2.9
FINREP_REF_F_04.03.1_REF_FINREP 2.9,FINREP_REF_F_04.03.1_REF_FINREP 2.9
FINREP_REF_F_18.00.e_REF_FINREP 2.9,FINREP_REF_F_18.00.e_REF_FINREP 2.9
FINREP_REF_F_18.00.a_REF_FINREP 2.9,FINREP_REF_F_18.00.a_REF_FINREP 2.9
FINREP_REF_F_18.02.c_REF_FINREP 2.9,FINREP_REF_F_18.02.c_REF_FINREP 2.9
FINREP_REF_F_25.01.b_REF_FINREP 2.9,FINREP_REF_F_25.01.b_REF_FINREP 2.9
FINREP_REF_F_25.02.a_REF_FINREP 2.9,FINREP_REF_F_25.02.a_REF_FINREP 2.9
