CUBE_ID,COMBINATION_ID
F_14_00_REF_FINREP_3_0,151889_REF
F_20_01_REF_FINREP_3_0,10971_REF
F_14_00_REF_FINREP_3_0,151904_REF
F_13_01_REF_FINREP_3_0,429444_REF
F_10_00_REF_FINREP_3_0,151093_REF
F_05_01_REF_FINREP_3_0,152429_REF
F_04_01_REF_FINREP_3_0,11112_REF
F_11_02_REF_FINREP_3_0,11503_REF
F_11_02_REF_FINREP_3_0,151631_REF
F_07_01_REF_FINREP_3_0,150755_REF
F_20_02_REF_FINREP_3_0,45834_REF
F_07_02_REF_FINREP_3_0,150682_REF
F_04_09_REF_FINREP_3_0,150332_REF
F_10_00_REF_FINREP_3_0,151038_REF
F_04_08_REF_FINREP_3_0,153408_REF
F_11_01_REF_FINREP_3_0,151463_REF
F_14_00_REF_FINREP_3_0,151875_REF
F_11_02_REF_FINREP_3_0,151639_REF
F_04_08_REF_FINREP_3_0,150467_REF
F_04_10_REF_FINREP_3_0,152143_REF
F_07_01_REF_FINREP_3_0,150803_REF
F_04_10_REF_FINREP_3_0,152137_REF
F_14_00_REF_FINREP_3_0,152775_REF
F_04_08_REF_FINREP_3_0,153449_REF
F_04_08_REF_FINREP_3_0,153456_REF
F_07_01_REF_FINREP_3_0,441714_REF
F_10_00_REF_FINREP_3_0,151020_REF
F_20_02_REF_FINREP_3_0,11319_REF
F_20_01_REF_FINREP_3_0,152228_REF
F_11_02_REF_FINREP_3_0,11502_REF
F_09_02_REF_FINREP_3_0,85145_REF
F_11_02_REF_FINREP_3_0,153390_REF
F_04_09_REF_FINREP_3_0,153073_REF
F_11_02_REF_FINREP_3_0,151598_REF
F_04_10_REF_FINREP_3_0,429270_REF
F_13_01_REF_FINREP_3_0,441821_REF
F_41_01_REF_FINREP_3_0,152266_REF
F_04_09_REF_FINREP_3_0,150439_REF
F_11_02_REF_FINREP_3_0,151357_REF
F_13_01_REF_FINREP_3_0,429456_REF
F_11_02_REF_FINREP_3_0,67339_REF
F_05_01_REF_FINREP_3_0,408955_REF
F_04_10_REF_FINREP_3_0,150404_REF
F_04_09_REF_FINREP_3_0,153107_REF
F_14_00_REF_FINREP_3_0,11156_REF
F_04_06_REF_FINREP_3_0,45905_REF
F_11_02_REF_FINREP_3_0,234386_REF
F_20_01_REF_FINREP_3_0,45914_REF
F_13_01_REF_FINREP_3_0,152606_REF
F_04_10_REF_FINREP_3_0,153144_REF
F_07_01_REF_FINREP_3_0,150621_REF
F_10_00_REF_FINREP_3_0,151096_REF
F_05_01_REF_FINREP_3_0,152440_REF
F_41_01_REF_FINREP_3_0,11457_REF
F_04_06_REF_FINREP_3_0,45924_REF
F_06_01_REF_FINREP_3_0,429363_REF
F_14_00_REF_FINREP_3_0,151876_REF
F_04_06_REF_FINREP_3_0,45919_REF
F_11_02_REF_FINREP_3_0,151454_REF
F_14_00_REF_FINREP_3_0,11271_REF
F_07_02_REF_FINREP_3_0,155387_REF
F_06_01_REF_FINREP_3_0,150886_REF
F_31_01_REF_FINREP_3_0,118764_REF
F_04_10_REF_FINREP_3_0,429525_REF
F_04_09_REF_FINREP_3_0,153049_REF
F_20_01_REF_FINREP_3_0,11101_REF
F_14_00_REF_FINREP_3_0,11390_REF
F_41_01_REF_FINREP_3_0,152261_REF
F_14_00_REF_FINREP_3_0,151981_REF
F_41_01_REF_FINREP_3_0,11471_REF
F_01_02_REF_FINREP_3_0,152671_REF
F_05_01_REF_FINREP_3_0,152590_REF
F_04_01_REF_FINREP_3_0,11114_REF
F_04_09_REF_FINREP_3_0,150336_REF
F_04_08_REF_FINREP_3_0,153482_REF
F_07_01_REF_FINREP_3_0,150731_REF
F_20_01_REF_FINREP_3_0,152851_REF
F_04_10_REF_FINREP_3_0,150340_REF
F_13_01_REF_FINREP_3_0,441823_REF
F_20_01_REF_FINREP_3_0,113141_REF
F_41_01_REF_FINREP_3_0,152269_REF
F_14_00_REF_FINREP_3_0,151787_REF
F_41_01_REF_FINREP_3_0,151852_REF
F_04_08_REF_FINREP_3_0,153512_REF
F_01_01_REF_FINREP_3_0,45922_REF
F_14_00_REF_FINREP_3_0,11131_REF
F_11_02_REF_FINREP_3_0,153392_REF
F_01_01_REF_FINREP_3_0,11108_REF
F_04_08_REF_FINREP_3_0,153442_REF
F_14_00_REF_FINREP_3_0,151760_REF
F_06_01_REF_FINREP_3_0,152536_REF
F_10_00_REF_FINREP_3_0,153257_REF
F_04_09_REF_FINREP_3_0,46515_REF
F_11_02_REF_FINREP_3_0,151614_REF
F_04_10_REF_FINREP_3_0,152139_REF
F_04_08_REF_FINREP_3_0,150466_REF
F_13_01_REF_FINREP_3_0,429440_REF
F_41_01_REF_FINREP_3_0,151861_REF
F_07_01_REF_FINREP_3_0,150638_REF
F_07_01_REF_FINREP_3_0,150761_REF
F_11_02_REF_FINREP_3_0,153380_REF
F_14_00_REF_FINREP_3_0,152002_REF
F_14_00_REF_FINREP_3_0,151890_REF
F_04_10_REF_FINREP_3_0,153220_REF
F_04_09_REF_FINREP_3_0,153074_REF
F_10_00_REF_FINREP_3_0,151008_REF
F_04_10_REF_FINREP_3_0,153139_REF
F_04_08_REF_FINREP_3_0,150464_REF
F_14_00_REF_FINREP_3_0,11285_REF
F_14_00_REF_FINREP_3_0,11143_REF
F_10_00_REF_FINREP_3_0,10650_REF
F_04_10_REF_FINREP_3_0,150351_REF
F_10_00_REF_FINREP_3_0,153261_REF
F_01_02_REF_FINREP_3_0,11451_REF
F_11_02_REF_FINREP_3_0,151621_REF
F_09_01_REF_FINREP_3_0,155852_REF
